ticker,date,close,source,note
GOLD,2025-07-08,20.5215,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9433
GOLD,2025-07-09,21.1608,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9439
GOLD,2025-07-10,22.0312,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9445
GOLD,2025-07-11,22.253,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9451
GOLD,2025-07-14,21.7748,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9470
GOLD,2025-07-15,20.7725,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9476
GOLD,2025-07-16,20.7952,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9482
GOLD,2025-07-17,20.9661,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9488
GOLD,2025-07-18,20.4005,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9494
GOLD,2025-07-21,20.6462,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9513
GOLD,2025-07-22,21.362,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9519
GOLD,2025-07-23,21.2165,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9525
GOLD,2025-07-24,20.5175,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9531
GOLD,2025-07-25,20.7279,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9538
GOLD,2025-07-28,20.5424,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9556
GOLD,2025-07-29,20.3863,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9562
GOLD,2025-07-30,20.1547,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9568
GOLD,2025-07-31,20.0452,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9575
GOLD,2025-08-01,19.3889,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9581
GOLD,2025-08-04,19.7852,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9599
GOLD,2025-08-05,20.5634,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9605
GOLD,2025-08-06,21.0683,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9612
GOLD,2025-08-07,20.9872,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9618
GOLD,2025-08-08,20.8775,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9624
